Post Text,Post Link
"Akkodis Recrute Ses Futurs Talents En Stage Pfe ! Stage Pfe : Maintenance Aéronautique ! ✈️ Nous Recherchons Un(E) Étudiant(E) Passionné(E) (Bac+5) Pour Rejoindre Notre Équipe.   Profil : Ingénierie/Maintenance Aéronautique, Expérience Pratique Maîtrise Fr/En. Envoyez Votre Cv À  L'Adresse Suivante, En Précisant L’Objet : ""Pfe"" :   📧   Amal.Amegoude@Akkodis.Com Hashtag # Stage   Hashtag # Pfe   Hashtag # Aéronautique   Hashtag # Maintenance   Hashtag # Ingénieur",https://www.linkedin.com/company/stages-portal/posts
🎯 Hashtag # Stage_Pfe   ! 🎯 Dernière Ligne Droite ! Une Nouvelle Opportunité Vous Attend : 🚀 𝐒𝐮𝐣𝐞𝐭 : Développement Full Stack Java 📜 𝐂𝐨𝐧𝐭𝐫𝐚𝐭 : Stage Pfe Avec Possibilité De Pré-Embauche 📅 𝐃𝐚𝐭𝐞 𝐝𝐞 𝐝𝐞́𝐦𝐚𝐫𝐫𝐚𝐠𝐞 : Mars 2025 📍 𝐋𝐢𝐞𝐮 : Casablanca 💡 Rejoignez Une Équipe Passionnée Et Boostez Votre Carrière Dès Maintenant ! 📩 Envoyez Votre Candidature À   Kenza.Elboury@Docaposte.Fr Pour Plus D’Offres De Stages:   Www.Stagesportal.Com,https://www.linkedin.com/company/stages-portal/posts
"Offre De Stage : Stagiaire Ressources Humaines Smurfit Westrock Est Un Leader Mondial Dans Le Secteur De L'Emballage En Carton Ondulé, Engagé À Offrir Des Solutions Durables Et Innovantes À Ses Client.   Nous Recherchons Un (E) Stagiaire Rh Dynamique Et Motivé Pour Rejoindre Notre Équipe. Missions : En Tant Que Stagiaire Rh, Vous Serez Intégré(E) Au Sein De Notre Équipe Rh Et Participerez Aux Missions Suivantes : -Recrutement Et Intégration : Participation Au Processus De Recrutement, De La Diffusion Des Offres À L’Entretien Des Candidatures. -Gestion Administrative Du Personnel : Aide À La Gestion Des Dossiers Des Employés (Contrats, Absences, Formations ....). -Support À La Gestion De La Performance : Participation À L’Organisation Des Évaluations De Performance Et Au Suivi Des Actions De Développement Des Talents. Profil Recherché : -Diplôme Bac+5 En Ressources Humaines Ou Équivalent .   -Bonne Connaissance Des Outils Bureautiques (Word, Excel, Powerpoint) -Aisance Relationnelle Et Sens De L'Écoute -Rigueur, Organisation Et Autonomie Ce Que Nous Offrons : -Une Expérience Enrichissante Dans Un Environnement Professionnel Stimulant. -Des Missions Variées Offrant Une Vue D’Ensemble Sur Les Différents Aspects Des Ressources Humaines. -Des Perspectives De Carrière Au Sein D’Une Entreprise En Forte Croissance Poste Basé À Ain Aouda.   Référence Du Poste : Srh/2025   Pour Postuler, Veuillez Envoyer Votre Cv   Rrhh.Morocco@Smurfitkappa.Ma   En Indiquant La Référence Du Poste « Srh/2025 » Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"Internship Opportunity At University Mohammed Vi Polytechnic : Extraction Methods For Managing Phosphate Quality.   Open To Master’S Or Engineering Students In Mining Engineering, Industrial Engineering, Applied Mathematics, Data Science, Or Related Fields. Strong Skills In Optimization Modeling And Programming Are Required.   Duration: 4–6 Months (Paid Internship). Start Date: April 2025 At Um6P Benguerir. To Apply, Send Your Cv To:   Bassma.Azzamouri@Um6P.Ma",https://www.linkedin.com/company/stages-portal/posts
"Offre De Stage Pfe -   Tpe Aéronautique (Avec Possibilité D'Intégration) Missions : Soutenir Le Projet De Préparation Pour La Certification Iso 9001   Profil : Bac +3 Technique/ Scientifique (Minimum) Motivé(E), Rigoureux(Se), Disponible Dès Le 3 Mars 2025. Postuler : Cv + Lettre À   Direction@Meca3Dprecision.Com   Lieu:   Mohammedia (Route Ben Slimane) Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"Offre De Stage – Suivi 5S En Atelier Nous Sommes Une Société Spécialisée En Fabrication Mécanique Et Construction Métallique, Basée À Aïn Sebaa, Et Nous Recherchons Un Stagiaire (Licence Ou Master) Pour Assurer Le Suivi De La Méthode 5S Dans Notre Atelier. Missions : Suivi Et Mise En Œuvre Des Principes 5S En Atelier Analyse Des Processus Et Identification Des Axes D’Amélioration Sensibilisation Et Accompagnement Des Équipes Dans L’Application Des Standards 5S Rédaction De Rapports De Suivi Et Recommandations Profil Recherché : Étudiant(E) En Licence Ou Master (Gestion Industrielle, Qualité, Génie Mécanique Ou Équivalent) Connaissance Des Outils D’Amélioration Continue Et De La Méthodologie 5S Esprit D’Analyse, Rigueur Et Sens De L’Organisation Bonne Capacité De Communication Et Esprit D’Équipe Stage Basé À Aïn Sebaa. Durée : À Définir Selon Disponibilité. 📩 Pour Postuler, Envoyez Votre Cv À   Rekrutementrh01@Gmail.Com . Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"🚀 [Urgent] Stages Rémunérés – 5 Postes Chez Id&A Tech 🚀 Bonjour La Communauté Linkedin ! Vous Êtes Passionné(E) Par La Data Et L’Innovation ? Id&A Tech Recrute 3 Profils En Stage Rémunéré (3 À 9 Mois), À Pourvoir Dès Que Possible : 1️⃣ Développeur Sql / Administrateur Bdd 🛠️ Https://Lnkd.In/Epnery5R 2️⃣ Consultant(E) Bi 📊 Https://Lnkd.In/E4Sith_A 3️⃣ Assistant(E) Chef De Projet 📝 Https://Lnkd.In/Etagwc3S 🔴 Important : Ces Stages Ne Sont Pas Des Pfe. Ils Sont Conçus Pour Des Candidats Souhaitant Acquérir Une Expérience Concrète En Entreprise Et Évoluer Vers Un Poste En Cdi En Fonction De Leurs Performances. Pourquoi Rejoindre Id&A Tech ? ✨ Startup Marocaine Dynamique Basée Au Technopark Casablanca ✨ Projets Concrets En Business Intelligence & Intelligence Artificielle ✨ Équipe Jeune Et Passionnée Par La Tech Et L’Innovation ✨ Cadre Stimulant Pour Booster Votre Carrière Ce Que Nous Offrons : ✅ Stage Rémunéré (3-9 Mois) ✅ Encadrement Professionnel & Montée En Compétences Garantie ✅ Contribution Directe À Des Projets De Gestion De Données Financières Intéressé(E) ? Remplissez Vite Le Formulaire Correspondant Au Poste Qui Vous Intéresse ⬆️ Ne Manquez Pas Cette Opportunité Urgente De Rejoindre Notre Équipe Et De Faire Décoller Votre Carrière ! 🔍 Tagguez Vos Ami(E)S Qui Pourraient Être Intéressé(E)S. 📩 Pour Plus D’Infos :   Recrutement@Idatech.Ma A Très Vite ! Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre De Stage – Cybersécurité, Production & Réseaux 📍 Localisation : Casablanca ⏳ Durée : 6 Mois 🔍 Domaines Disponibles : ✅ Cybersécurité 🔐 ✅ Production ⚙ ✅ Ingénieur Système Et Réseau (Wintel) 💻 🎯 Profil Recherché : 🎓 Étudiant(E) En Dernière Année Ou Jeune Diplômé(E) En Informatique, Réseaux, Cybersécurité Ou Domaine Connexe. 💡 Curieux(Se), Rigoureux(Se) Et Passionné(E) Par Son Domaine. 🤝 Esprit D’Équipe Et Capacité À Évoluer Dans Un Environnement Dynamique. 🚀 Pourquoi Rejoindre ? ✔ Une Expérience Enrichissante Avec Des Missions Concrètes. ✔ Un Cadre De Travail Stimulant Et Des Opportunités D’Apprentissage. ✔ Un Accompagnement Par Des Experts Du Domaine. 📩 Candidature : Envoyez Votre Cv À   Oumaima.Mahboub.Stg@Teal.Ma   En Précisant Le Poste Souhaité Dans L’Objet De Votre Mail. Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"Bonjour,   Agc Automotive Recherche Des Stagiaires Pfe En Développement Et Process ✨!. Passionné(E) Par L'Ingénierie, Vous Êtes Titulaire D'Un Diplôme En Génie Des Procédés, Industriel Et Productique, Ou Génie Produit ? Rejoignez Nos Équipes Et Mettez Vos Compétences À Profit.   👉 📩Postulez Dès Maintenant :   Maroc.Recruitement@Agc.Com Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre De Stage Pfe – Data Science / Big Data & Développement Java Nous Sommes À La Recherche De Stagiaires Pfe Motivés Et Passionnés Pour Rejoindre Notre Équipe ! 🚀 🔹 Poste 1 : Data Science / Big Data 📍 Lieu : Rabat 📆 Durée : 6 Mois 🎯 Compétences Requises : Python, Machine Learning, Sql, Spark, Hadoop (Un Plus). 🔹 Poste 2 : Développement Java 📍 Lieu : Casablanca 📆 Durée : 6 Mois 🎯 Compétences Requises : Java, Spring Boot, Microservices, Sql. 💡 Profils Recherchés : Étudiants En Dernière Année (Bac+5) En Informatique, Data Science Ou Domaine Similaire. 📩 Candidature : Envoyez Votre Cv À   Nouhaila.Brija@Sofrecom.Com   Avec L’Objet ""Stage Pfe – Spécialité Et Ville” .   Rejoignez-Nous Et Faites Parti De L'Équipe Sofrecom Et De Notre Succès. Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"Bonjour,   Nous Cherchons Un Stagiaire Pour Renforcer Notre Équipe Data. 📍 Localisation : Siège - Dsi 📅 Durée : 4 - 6 Mois 🎓 Niveau : Bac+3 À Bac+5 💼 Disponibilité : Dès Que Possible À Propos Du Stage Nous Recherchons Un Stagiaire En Business Intelligence Ayant Une Expérience En Qlik Sense Pour Participer À L’Optimisation Et L’Automatisation Des Processus De Reporting Et D’Analyse De Données. Vous Interviendrez Sur Des Projets Stratégiques Pour Notre Entreprise. Missions Principales ✅ Concevoir Et Développer Des Tableaux De Bord Interactifs Sous Qlik Sense ✅ Structurer Et Modéliser Les Données Pour Une Visualisation Efficace ✅ Optimiser Les Performances Des Applications Bi ✅ Automatiser Et Fiabiliser Les Flux De Données ✅ Participer À La Formation Des Utilisateurs Et À La Documentation Des Solutions Profil Recherché 🔹 Étudiant(E) En Informatique, Data Science, Business Intelligence Ou Équivalent 🔹 Expérience Académique Ou Professionnelle Sur Qlik Sense 🔹 Maîtrise D’Sql, Excel Et Des Bases De Données Relationnelles 🔹 Esprit Analytique, Rigueur Et Sens De La Communication Si Vous Êtes Prêt(E) À Relever De Nouveaux Défis, N'Hésitez Pas A Postuler Directement Sur L'Adresse Suivante:   Recrutement-Ctm@Ctm.Ma   En Mentionnant En Objet: Bi2025 Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"Offre De Stage Pré-Embauche – Consultant Bpo Localisation : Tanger, Maroc Type De Contrat : Stage Pré-Embauche Durée : 6 Mois Nous Sommes Un Cabinet De Conseil Bpo, Dans Le Cadre De Notre Développement, Nous Recherchons Un(E) Stagiaire Pré-Embauche Pour Un Poste De Consultant Bpo. Profil Recherché : Diplômé(E) D’Un Bac+5 En Finance, Audit Ou Comptabilité. Première Expérience En Comptabilité (Stage Ou Emploi). Bonne Maîtrise Des Principes Comptables Et Financiers. Capacité Analytique, Rigueur Et Esprit De Synthèse. Aisance Avec Les Outils Bureautiques Et Logiciels Comptables. Esprit D’Équipe Et Capacité À Travailler En Autonomie. Ce Que Nous Offrons : Une Opportunité D’Évolution Vers Un Poste En Cdi À L’Issue Du Stage. Une Expérience Enrichissante. Un Encadrement Et Une Formation Continue Pour Développer Vos Compétences. Si Vous Êtes Motivé(E) Et Souhaitez Évoluer Dans Un Environnement Professionnel Stimulant, Envoyez Votre Cv À   Nton@Ntonadvisory.Com . Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre De Stages Pfe – Développeur (Se) Frontend Vue.Js 📍 Localisation : Agadir 🏢 Type De Stage : Sur Site Nous Recherchons Un(E) Stagiaire En Développement Frontend Vue.Js Pour Rejoindre Notre Équipe.   Vous Êtes Étudiant(E) En École D'Ingénieur Ou Formation Similaire, Avec Des Connaissances Avec Quasar, Capacitor , Electron Et Une Grande Rigueur. Envoyez Votre Cv À   Contact@Codingart.Io   Avec L'Objet ""Candidature Stage Développeur (Se) Frontend Vue.Js Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"[Offre De Stage– Stagiaire Méthode ] Tac - Tanger Nous Sommes À La Recherche D'Un Stagiaire En Département Méthode, Pour Un Stage Rémunéré D’Une Durée De 3 À 6 Mois À Tanger. (Transport Et Cantine Assurés). Profil Recherché : Diplôme : Bac+3/5 En Génie Industriel Et Maintenance   Connaissance En Usinage Et Assemblage Maitrise Des Outils De Management Qualité, Kaizen, Bureautiques. Missions : Amélioration Du Système De Gestion Des Outillages, Outils De Coupe Et Outils De Changement De Série Mise À Jour Des Procédures Et Documents Techniques Pour Les Intéressés, Veuillez Envoyer Votre Cv À L'Adresse:   Recruitment.Morocco@Jtekt.Eu   En Mentionnant « Stagiaire Me » Comme Objet De Votre Email. Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
🚀 Nous Recrutons Des Stagiaires En Ingénierie - Bouskoura ! 🚀 Leoni Recherche Des Stagiaires Motivés Pour Rejoindre Le Département Ingénierie De Notre Site De Bouskoura.   🔍 Profil Recherché : Niveau D'Études : Bac +2/3 En Génie Industriel. 🌍 Langues : Français : Parlé Et Écrit Couramment. Anglais : Bonnes Notions. 📆 Durée : 3 Mois De Stage Rémunéré. 📧 Envoyez Votre Candidature À   Wmabo_Careers.Bouskoura@Leoni.Com   Pour Plus D’Offres De Stages:   Www.Stagesportal.Com,https://www.linkedin.com/company/stages-portal/posts
"Offre De Stage Pfe : Développeur Mobile Full-Stack Entreprise : Oriigami Privé Lieu : Télétravail Durée : 4 À 6 Mois Début Du Stage : Mars Convention De Stage Obligatoire Description : Nous Recherchons Deux Stagiaires Full-Stack Pour Participer Au Développement D’Une Application Mobile Multiplateforme (Ios/Android) Avec React Native Et Au Développement Du Backend Avec Django Et Postgresql. Missions : - Développer L'Application Mobile Avec React Native Pour Ios Et Android. - Gérer La Base De Données Postgresql Pour Stocker Et Récupérer Les Données De L’Application. - Intégrer Et Tester Les Api Entre L’Application Mobile Et Le Backend. - Utiliser Git Pour La Gestion Des Versions Du Projet. Compétences Requises : - Frontend : React Native, Javascript - Backend : Django, Django Rest Framework, Authentification Jwt - Base De Données : Postgresql, Migrations, Relations De Données - Api : Création Et Intégration D'Api Restful - Versioning : Utilisation De Git Pour La Gestion Du Code Source - Outils : Familiarité Avec Des Outils Comme Postman Pour Tester Les Api. Candidature : Envoyez Votre Cv À   Oriigami.Contact@Gmail.Com   Avec L'Objet ""Candidature Stage Développeur Mobile Full-Stack "" Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"🚨 Offre De Stage 🚨   Dans Le Cadre De Notre Campagne De Stages Pfe 2025, Nous Sommes À La Recherche D’Un Stagiaire Marketing Pfe Au Sein De Notre Département. Profil Recherché: - Actuellement Étudiant En Dernière Année, Filière Marketing Et Commerce. - Vous Avez L’Esprit De Synthèse Et D’Analyse, Attentif, Et Vous Recherchez Un Stage Pour Valider Votre Formation. - Le Candidat Devra Obligatoirement Avoir Une Convention De Stage. ➡ Ville : Casablanca ➡ Salaire : À Discuter Si Vous Êtes Intéressé Veuillez Envoyer Votre Cv À L'Adresse Suivante :   📩   Recrutement@Ma.G4S.Com Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
📢 Offre De Stage Pfe – Développement Full Stack (Full Remote) 📍 Localisation : 100% Télétravail 📅 Date De Début : 03/03/2025 🎯 Missions : ✔ Développement De Projets Internes Et Externes ✔ Collaboration Avec L’Équipe Pour Intégrer Des Fonctionnalités Innovantes ✔ Amélioration Continue De La Qualité Du Code 🔍 Profil Recherché : 🎓 Étudiant(E) En Dernière Année En Informatique Ou Génie Logiciel 💡 Passionné(E) Par Le Développement Full Stack 💻 Expérience Avec Java Spring Boot Et React (Un Plus) 📩 Candidature : Envoyez Votre Cv À   Hiba.Falky@Marketingconfort.Com Pour Plus D’Offres De Stages:   Www.Stagesportal.Com,https://www.linkedin.com/company/stages-portal/posts
"🚀 Offre De Stage Pfe Rémunéré : Stagiaire En Système D'Information (Expérience Erp) Nous Recherchons Un(E) Stagiaire Motivé(E) Pour Rejoindre Notre Équipe Dans Le Cadre D'Un Projet De Fin D'Études (Pfe) En Système D'Information. Ce Stage Est Une Opportunité Unique De Mettre En Pratique Vos Compétences Techniques Et De Contribuer À Des Projets Concrets Dans Un Environnement Dynamique Et Innovant. Profil Recherché Formation : Étudiant(E) En Dernière Année D'École D'Ingénieurs Ou En Master En Informatique, Systèmes D'Information, Ou Domaine Équivalent. Compétences Techniques : Connaissance Des Systèmes Erp (Sap, Sage X3). Maîtrise Des Bases De Données (Sql, Crystal Report ,Etc.). Compréhension Des Processus Métiers Et Des Flux Informatiques. Une Première Expérience En Stage Ou Projet Dans Le Domaine Des Erp Serait Un Atout. Qualités Personnelles : Autonomie, Rigueur Et Curiosité Intellectuelle. Bon Esprit D'Équipe Et Excellentes Capacités De Communication. Capacité À S'Adapter À Un Environnement En Évolution Rapide. Mission : Participer À L'Analyse, La Conception Et L'Optimisation Des Processus Métiers. Contribuer À La Gestion Et À L'Évolution De Système Erp. 📩 Comment Postuler ? Envoyez Votre Cv Et Une Lettre De Motivation À   Sfathi@S2M.Ma   . Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"✨ Opportunité Stage Ingénieurs Pour Notre Client, Société Industriel À Casablanca. Nous Sommes À La Recherche De Stagiaires Pfe Dans Les Domaines Suivants :   - Génie Electrique   - Génie Mécanique   - Génie Industriel   - Génie Des Procédés Ecoles D'Ingénieur : Ensa/ Ensem/ Emi /Ehtp /Ensam/ ... 📍 Casablanca Si Cette Opportunité Vous Intéresse, N'Hésitez Pas À Nous Faire Parvenir Votre Candidature À L'Adresse E-Mail Indiquée Ci-Dessous :   Nadasalki38@Gmail.Com Nb : Merci De Préciser Dans L'Objet Du Mail ""Stage-Pfe-Eng"" 🔔 Pour Plus D’Offres De Stages :   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre De Stage Pfe – Département Amélioration Continue   Nous Recherchons Des Stagiaires Pfe Dynamiques Et Passionnés Par L’Amélioration Continue Pour Une Mission De 3 À 6 Mois Au Sein De Notre Entreprise. ✅ Profil Recherché : Étudiant(E) En Ingénierie, Management Industriel, Qualité Ou Domaine Similaire. Connaissance Des Outils Et Méthodologies Lean, Six Sigma Et D’Amélioration Continue.   📩 N'Hésitez Pas De Nous Envoyer Vos Cv Sur L'Adresse Suivante :   Morocco.Hr@Sabca.Be   (Objet ""Stage _Amélioration Continue"") Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
"On🔎 Stage Ingénieur En Génie Industriel – Rejoignez Nous 🔎   📍 Lieu : Ain Sebaa, Maroc   📅 Durée : 3 À 6 Mois   👨‍🏭 Secteur : Industrie – Ventilation, Climatisation, Désenfumage   🚀 Envie D’Un Stage Où Vous Aurez Un Impact Concret ? Chez Icat International, Nous Ne Cherchons Pas Juste Un Stagiaire, Mais Un Véritable Acteur Du Changement Dans Notre Unité De Production !     Ce Qu’On Attend De Vous ✅ Étudiant(E) En Dernière Année D’Ingénierie (Génie Industriel, Mécanique…)   ✅ Passionné(E) Par L’Optimisation, La Productivité Et La Gestion Industrielle   ✅ Curieux(Se), Force De Proposition Et Prêt(E) À Relever Des Défis   Pourquoi Nous Rejoindre ? 🌍 Une Entreprise Dynamique   💡 Un Environnement  Innovant 🎯 Des Missions Concrètes Et Impactantes 📈 Une Opportunité D’Embauche À La Clé !   Vous Êtes Prêt(E) À Faire La Différence ?   Postulez Dès Maintenant En Envoyant Votre Cv À [ Recrutement@Icat.Ma ] Pour Plus D’Offres De Stages:   Www.Stagesportal.Com",https://www.linkedin.com/company/stages-portal/posts
