Post Text,Post Link
"Akkodis recrute ses futurs talents en stage PFE ! Stage PFE : Maintenance aéronautique ! ✈️ Nous recherchons un(e) étudiant(e) passionné(e) (Bac+5) pour rejoindre notre équipe.   Profil : Ingénierie/maintenance aéronautique, expérience pratique Maîtrise FR/EN. Envoyez votre CV à  l'adresse suivante, en précisant l’objet : ""PFE"" :   📧   Amal.AMEGOUDE@akkodis.com hashtag # stage   hashtag # PFE   hashtag # aéronautique   hashtag # maintenance   hashtag # ingénieur",https://www.linkedin.com/company/stages-portal/posts
🎯 hashtag # Stage_PFE   ! 🎯 Dernière ligne droite ! Une nouvelle opportunité vous attend : 🚀 𝐒𝐮𝐣𝐞𝐭 : Développement Full Stack Java 📜 𝐂𝐨𝐧𝐭𝐫𝐚𝐭 : Stage PFE avec possibilité de pré-embauche 📅 𝐃𝐚𝐭𝐞 𝐝𝐞 𝐝𝐞́𝐦𝐚𝐫𝐫𝐚𝐠𝐞 : Mars 2025 📍 𝐋𝐢𝐞𝐮 : Casablanca 💡 Rejoignez une équipe passionnée et boostez votre carrière dès maintenant ! 📩 Envoyez votre candidature à   kenza.elboury@docaposte.fr Pour plus d’offres de stages:   www.stagesportal.com,https://www.linkedin.com/company/stages-portal/posts
"Offre de Stage : Stagiaire Ressources Humaines Smurfit Westrock est un leader mondial dans le secteur de l'emballage en carton ondulé, engagé à offrir des solutions durables et innovantes à ses client.   Nous recherchons un (e) Stagiaire RH dynamique et motivé pour rejoindre notre équipe. Missions : En tant que stagiaire RH, vous serez intégré(e) au sein de notre équipe RH et participerez aux missions suivantes : -Recrutement et intégration : Participation au processus de recrutement, de la diffusion des offres à l’entretien des candidatures. -Gestion administrative du personnel : Aide à la gestion des dossiers des employés (contrats, absences, formations ....). -Support à la gestion de la performance : Participation à l’organisation des évaluations de performance et au suivi des actions de développement des talents. Profil recherché : -Diplôme Bac+5 en Ressources Humaines ou équivalent .   -Bonne connaissance des outils bureautiques (Word, Excel, PowerPoint) -Aisance relationnelle et sens de l'écoute -Rigueur, organisation et autonomie Ce que nous offrons : -Une expérience enrichissante dans un environnement professionnel stimulant. -Des missions variées offrant une vue d’ensemble sur les différents aspects des Ressources Humaines. -Des perspectives de carrière au sein d’une entreprise en forte croissance Poste basé à Ain Aouda.   Référence du Poste : SRH/2025   Pour postuler, veuillez envoyer votre CV   rrhh.morocco@smurfitkappa.ma   en indiquant la référence du Poste « SRH/2025 » Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Akkodis recrute ses futurs talents en stage PFE ! Stage PFE : Maintenance aéronautique ! ✈️ Nous recherchons un(e) étudiant(e) passionné(e) (Bac+5) pour rejoindre notre équipe.   Profil : Ingénierie/maintenance aéronautique, expérience pratique Maîtrise FR/EN. Envoyez votre CV à  l'adresse suivante, en précisant l’objet : ""PFE"" :   📧   Amal.AMEGOUDE@akkodis.com hashtag # stage   hashtag # PFE   hashtag # aéronautique   hashtag # maintenance   hashtag # ingénieur",https://www.linkedin.com/company/stages-portal/posts
🎯 hashtag # Stage_PFE   ! 🎯 Dernière ligne droite ! Une nouvelle opportunité vous attend : 🚀 𝐒𝐮𝐣𝐞𝐭 : Développement Full Stack Java 📜 𝐂𝐨𝐧𝐭𝐫𝐚𝐭 : Stage PFE avec possibilité de pré-embauche 📅 𝐃𝐚𝐭𝐞 𝐝𝐞 𝐝𝐞́𝐦𝐚𝐫𝐫𝐚𝐠𝐞 : Mars 2025 📍 𝐋𝐢𝐞𝐮 : Casablanca 💡 Rejoignez une équipe passionnée et boostez votre carrière dès maintenant ! 📩 Envoyez votre candidature à   kenza.elboury@docaposte.fr Pour plus d’offres de stages:   www.stagesportal.com,https://www.linkedin.com/company/stages-portal/posts
"Offre de Stage : Stagiaire Ressources Humaines Smurfit Westrock est un leader mondial dans le secteur de l'emballage en carton ondulé, engagé à offrir des solutions durables et innovantes à ses client.   Nous recherchons un (e) Stagiaire RH dynamique et motivé pour rejoindre notre équipe. Missions : En tant que stagiaire RH, vous serez intégré(e) au sein de notre équipe RH et participerez aux missions suivantes : -Recrutement et intégration : Participation au processus de recrutement, de la diffusion des offres à l’entretien des candidatures. -Gestion administrative du personnel : Aide à la gestion des dossiers des employés (contrats, absences, formations ....). -Support à la gestion de la performance : Participation à l’organisation des évaluations de performance et au suivi des actions de développement des talents. Profil recherché : -Diplôme Bac+5 en Ressources Humaines ou équivalent .   -Bonne connaissance des outils bureautiques (Word, Excel, PowerPoint) -Aisance relationnelle et sens de l'écoute -Rigueur, organisation et autonomie Ce que nous offrons : -Une expérience enrichissante dans un environnement professionnel stimulant. -Des missions variées offrant une vue d’ensemble sur les différents aspects des Ressources Humaines. -Des perspectives de carrière au sein d’une entreprise en forte croissance Poste basé à Ain Aouda.   Référence du Poste : SRH/2025   Pour postuler, veuillez envoyer votre CV   rrhh.morocco@smurfitkappa.ma   en indiquant la référence du Poste « SRH/2025 » Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Internship Opportunity at University Mohammed VI Polytechnic : Extraction methods for managing phosphate quality.   Open to master’s or engineering students in Mining Engineering, Industrial Engineering, Applied Mathematics, Data Science, or related fields. Strong skills in optimization modeling and programming are required.   Duration: 4–6 months (paid internship). Start Date: April 2025 at UM6P Benguerir. To apply, send your CV to:   bassma.azzamouri@um6p.ma",https://www.linkedin.com/company/stages-portal/posts
"Offre de stage PFE -   TPE Aéronautique (avec possibilité d'intégration) Missions : Soutenir le projet de préparation pour la certification ISO 9001   Profil : Bac +3 technique/ scientifique (minimum) Motivé(e), rigoureux(se), disponible dès le 3 mars 2025. Postuler : CV + lettre à   direction@meca3dprecision.com   Lieu:   Mohammedia (route Ben Slimane) Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Offre de Stage – Suivi 5S en Atelier Nous sommes une société spécialisée en fabrication mécanique et construction métallique, basée à Aïn Sebaa, et nous recherchons un stagiaire (Licence ou Master) pour assurer le suivi de la méthode 5S dans notre atelier. Missions : Suivi et mise en œuvre des principes 5S en atelier Analyse des processus et identification des axes d’amélioration Sensibilisation et accompagnement des équipes dans l’application des standards 5S Rédaction de rapports de suivi et recommandations Profil recherché : Étudiant(e) en Licence ou Master (gestion industrielle, qualité, génie mécanique ou équivalent) Connaissance des outils d’amélioration continue et de la méthodologie 5S Esprit d’analyse, rigueur et sens de l’organisation Bonne capacité de communication et esprit d’équipe Stage basé à Aïn Sebaa. Durée : à définir selon disponibilité. 📩 Pour postuler, envoyez votre CV à   rekrutementrh01@gmail.com . Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"🚀 [URGENT] Stages Rémunérés – 5 Postes chez ID&A Tech 🚀 Bonjour la communauté LinkedIn ! Vous êtes passionné(e) par la data et l’innovation ? ID&A Tech recrute 3 profils en stage rémunéré (3 à 9 mois), à pourvoir dès que possible : 1️⃣ Développeur SQL / Administrateur BDD 🛠️ https://lnkd.in/epNerY5r 2️⃣ Consultant(e) BI 📊 https://lnkd.in/e4SiTH_A 3️⃣ Assistant(e) Chef de Projet 📝 https://lnkd.in/etagWC3s 🔴 IMPORTANT : Ces stages ne sont pas des PFE. Ils sont conçus pour des candidats souhaitant acquérir une expérience concrète en entreprise et évoluer vers un poste en CDI en fonction de leurs performances. Pourquoi rejoindre ID&A Tech ? ✨ Startup marocaine dynamique basée au Technopark Casablanca ✨ Projets concrets en Business Intelligence & Intelligence Artificielle ✨ Équipe jeune et passionnée par la Tech et l’innovation ✨ Cadre stimulant pour booster votre carrière Ce que nous offrons : ✅ Stage rémunéré (3-9 mois) ✅ Encadrement professionnel & montée en compétences garantie ✅ Contribution directe à des projets de gestion de données financières Intéressé(e) ? Remplissez vite le formulaire correspondant au poste qui vous intéresse ⬆️ Ne manquez pas cette opportunité URGENTE de rejoindre notre équipe et de faire décoller votre carrière ! 🔍 Tagguez vos ami(e)s qui pourraient être intéressé(e)s. 📩 Pour plus d’infos :   recrutement@idatech.ma A très vite ! Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre de Stage – Cybersécurité, Production & Réseaux 📍 Localisation : Casablanca ⏳ Durée : 6 mois 🔍 Domaines disponibles : ✅ Cybersécurité 🔐 ✅ Production ⚙ ✅ Ingénieur Système et Réseau (Wintel) 💻 🎯 Profil recherché : 🎓 Étudiant(e) en dernière année ou jeune diplômé(e) en informatique, réseaux, cybersécurité ou domaine connexe. 💡 Curieux(se), rigoureux(se) et passionné(e) par son domaine. 🤝 Esprit d’équipe et capacité à évoluer dans un environnement dynamique. 🚀 Pourquoi rejoindre ? ✔ Une expérience enrichissante avec des missions concrètes. ✔ Un cadre de travail stimulant et des opportunités d’apprentissage. ✔ Un accompagnement par des experts du domaine. 📩 Candidature : Envoyez votre CV à   Oumaima.Mahboub.STG@teal.ma   en précisant le poste souhaité dans l’objet de votre mail. Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Bonjour,   AGC Automotive recherche des stagiaires PFE en développement et process ✨!. Passionné(e) par l'ingénierie, vous êtes titulaire d'un diplôme en génie des procédés, industriel et productique, ou génie produit ? Rejoignez nos équipes et mettez vos compétences à profit.   👉 📩Postulez dès maintenant :   Maroc.Recruitement@agc.com Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre de Stage PFE – Data Science / Big Data & Développement Java Nous sommes à la recherche de stagiaires PFE motivés et passionnés pour rejoindre notre équipe ! 🚀 🔹 Poste 1 : Data Science / Big Data 📍 Lieu : Rabat 📆 Durée : 6 mois 🎯 Compétences requises : Python, Machine Learning, SQL, Spark, Hadoop (un plus). 🔹 Poste 2 : Développement Java 📍 Lieu : Casablanca 📆 Durée : 6 mois 🎯 Compétences requises : Java, Spring Boot, Microservices, SQL. 💡 Profils recherchés : Étudiants en dernière année (Bac+5) en Informatique, Data Science ou domaine similaire. 📩 Candidature : Envoyez votre CV à   nouhaila.brija@sofrecom.com   avec l’objet ""Stage PFE – spécialité et ville” .   Rejoignez-nous et faites parti de l'équipe Sofrecom et de notre succès. Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Akkodis recrute ses futurs talents en stage PFE ! Stage PFE : Maintenance aéronautique ! ✈️ Nous recherchons un(e) étudiant(e) passionné(e) (Bac+5) pour rejoindre notre équipe.   Profil : Ingénierie/maintenance aéronautique, expérience pratique Maîtrise FR/EN. Envoyez votre CV à  l'adresse suivante, en précisant l’objet : ""PFE"" :   📧   Amal.AMEGOUDE@akkodis.com hashtag # stage   hashtag # PFE   hashtag # aéronautique   hashtag # maintenance   hashtag # ingénieur",https://www.linkedin.com/company/stages-portal/posts
🎯 hashtag # Stage_PFE   ! 🎯 Dernière ligne droite ! Une nouvelle opportunité vous attend : 🚀 𝐒𝐮𝐣𝐞𝐭 : Développement Full Stack Java 📜 𝐂𝐨𝐧𝐭𝐫𝐚𝐭 : Stage PFE avec possibilité de pré-embauche 📅 𝐃𝐚𝐭𝐞 𝐝𝐞 𝐝𝐞́𝐦𝐚𝐫𝐫𝐚𝐠𝐞 : Mars 2025 📍 𝐋𝐢𝐞𝐮 : Casablanca 💡 Rejoignez une équipe passionnée et boostez votre carrière dès maintenant ! 📩 Envoyez votre candidature à   kenza.elboury@docaposte.fr Pour plus d’offres de stages:   www.stagesportal.com,https://www.linkedin.com/company/stages-portal/posts
"Offre de Stage : Stagiaire Ressources Humaines Smurfit Westrock est un leader mondial dans le secteur de l'emballage en carton ondulé, engagé à offrir des solutions durables et innovantes à ses client.   Nous recherchons un (e) Stagiaire RH dynamique et motivé pour rejoindre notre équipe. Missions : En tant que stagiaire RH, vous serez intégré(e) au sein de notre équipe RH et participerez aux missions suivantes : -Recrutement et intégration : Participation au processus de recrutement, de la diffusion des offres à l’entretien des candidatures. -Gestion administrative du personnel : Aide à la gestion des dossiers des employés (contrats, absences, formations ....). -Support à la gestion de la performance : Participation à l’organisation des évaluations de performance et au suivi des actions de développement des talents. Profil recherché : -Diplôme Bac+5 en Ressources Humaines ou équivalent .   -Bonne connaissance des outils bureautiques (Word, Excel, PowerPoint) -Aisance relationnelle et sens de l'écoute -Rigueur, organisation et autonomie Ce que nous offrons : -Une expérience enrichissante dans un environnement professionnel stimulant. -Des missions variées offrant une vue d’ensemble sur les différents aspects des Ressources Humaines. -Des perspectives de carrière au sein d’une entreprise en forte croissance Poste basé à Ain Aouda.   Référence du Poste : SRH/2025   Pour postuler, veuillez envoyer votre CV   rrhh.morocco@smurfitkappa.ma   en indiquant la référence du Poste « SRH/2025 » Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Internship Opportunity at University Mohammed VI Polytechnic : Extraction methods for managing phosphate quality.   Open to master’s or engineering students in Mining Engineering, Industrial Engineering, Applied Mathematics, Data Science, or related fields. Strong skills in optimization modeling and programming are required.   Duration: 4–6 months (paid internship). Start Date: April 2025 at UM6P Benguerir. To apply, send your CV to:   bassma.azzamouri@um6p.ma",https://www.linkedin.com/company/stages-portal/posts
"Offre de stage PFE -   TPE Aéronautique (avec possibilité d'intégration) Missions : Soutenir le projet de préparation pour la certification ISO 9001   Profil : Bac +3 technique/ scientifique (minimum) Motivé(e), rigoureux(se), disponible dès le 3 mars 2025. Postuler : CV + lettre à   direction@meca3dprecision.com   Lieu:   Mohammedia (route Ben Slimane) Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Offre de Stage – Suivi 5S en Atelier Nous sommes une société spécialisée en fabrication mécanique et construction métallique, basée à Aïn Sebaa, et nous recherchons un stagiaire (Licence ou Master) pour assurer le suivi de la méthode 5S dans notre atelier. Missions : Suivi et mise en œuvre des principes 5S en atelier Analyse des processus et identification des axes d’amélioration Sensibilisation et accompagnement des équipes dans l’application des standards 5S Rédaction de rapports de suivi et recommandations Profil recherché : Étudiant(e) en Licence ou Master (gestion industrielle, qualité, génie mécanique ou équivalent) Connaissance des outils d’amélioration continue et de la méthodologie 5S Esprit d’analyse, rigueur et sens de l’organisation Bonne capacité de communication et esprit d’équipe Stage basé à Aïn Sebaa. Durée : à définir selon disponibilité. 📩 Pour postuler, envoyez votre CV à   rekrutementrh01@gmail.com . Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"🚀 [URGENT] Stages Rémunérés – 5 Postes chez ID&A Tech 🚀 Bonjour la communauté LinkedIn ! Vous êtes passionné(e) par la data et l’innovation ? ID&A Tech recrute 3 profils en stage rémunéré (3 à 9 mois), à pourvoir dès que possible : 1️⃣ Développeur SQL / Administrateur BDD 🛠️ https://lnkd.in/epNerY5r 2️⃣ Consultant(e) BI 📊 https://lnkd.in/e4SiTH_A 3️⃣ Assistant(e) Chef de Projet 📝 https://lnkd.in/etagWC3s 🔴 IMPORTANT : Ces stages ne sont pas des PFE. Ils sont conçus pour des candidats souhaitant acquérir une expérience concrète en entreprise et évoluer vers un poste en CDI en fonction de leurs performances. Pourquoi rejoindre ID&A Tech ? ✨ Startup marocaine dynamique basée au Technopark Casablanca ✨ Projets concrets en Business Intelligence & Intelligence Artificielle ✨ Équipe jeune et passionnée par la Tech et l’innovation ✨ Cadre stimulant pour booster votre carrière Ce que nous offrons : ✅ Stage rémunéré (3-9 mois) ✅ Encadrement professionnel & montée en compétences garantie ✅ Contribution directe à des projets de gestion de données financières Intéressé(e) ? Remplissez vite le formulaire correspondant au poste qui vous intéresse ⬆️ Ne manquez pas cette opportunité URGENTE de rejoindre notre équipe et de faire décoller votre carrière ! 🔍 Tagguez vos ami(e)s qui pourraient être intéressé(e)s. 📩 Pour plus d’infos :   recrutement@idatech.ma A très vite ! Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre de Stage – Cybersécurité, Production & Réseaux 📍 Localisation : Casablanca ⏳ Durée : 6 mois 🔍 Domaines disponibles : ✅ Cybersécurité 🔐 ✅ Production ⚙ ✅ Ingénieur Système et Réseau (Wintel) 💻 🎯 Profil recherché : 🎓 Étudiant(e) en dernière année ou jeune diplômé(e) en informatique, réseaux, cybersécurité ou domaine connexe. 💡 Curieux(se), rigoureux(se) et passionné(e) par son domaine. 🤝 Esprit d’équipe et capacité à évoluer dans un environnement dynamique. 🚀 Pourquoi rejoindre ? ✔ Une expérience enrichissante avec des missions concrètes. ✔ Un cadre de travail stimulant et des opportunités d’apprentissage. ✔ Un accompagnement par des experts du domaine. 📩 Candidature : Envoyez votre CV à   Oumaima.Mahboub.STG@teal.ma   en précisant le poste souhaité dans l’objet de votre mail. Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Bonjour,   AGC Automotive recherche des stagiaires PFE en développement et process ✨!. Passionné(e) par l'ingénierie, vous êtes titulaire d'un diplôme en génie des procédés, industriel et productique, ou génie produit ? Rejoignez nos équipes et mettez vos compétences à profit.   👉 📩Postulez dès maintenant :   Maroc.Recruitement@agc.com Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"📢 Offre de Stage PFE – Data Science / Big Data & Développement Java Nous sommes à la recherche de stagiaires PFE motivés et passionnés pour rejoindre notre équipe ! 🚀 🔹 Poste 1 : Data Science / Big Data 📍 Lieu : Rabat 📆 Durée : 6 mois 🎯 Compétences requises : Python, Machine Learning, SQL, Spark, Hadoop (un plus). 🔹 Poste 2 : Développement Java 📍 Lieu : Casablanca 📆 Durée : 6 mois 🎯 Compétences requises : Java, Spring Boot, Microservices, SQL. 💡 Profils recherchés : Étudiants en dernière année (Bac+5) en Informatique, Data Science ou domaine similaire. 📩 Candidature : Envoyez votre CV à   nouhaila.brija@sofrecom.com   avec l’objet ""Stage PFE – spécialité et ville” .   Rejoignez-nous et faites parti de l'équipe Sofrecom et de notre succès. Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
"Bonjour,   Nous cherchons un stagiaire pour renforcer notre équipe data. 📍 Localisation : Siège - DSI 📅 Durée : 4 - 6 mois 🎓 Niveau : Bac+3 à Bac+5 💼 Disponibilité : Dès que possible À propos du stage Nous recherchons un stagiaire en Business Intelligence ayant une expérience en Qlik Sense pour participer à l’optimisation et l’automatisation des processus de reporting et d’analyse de données. Vous interviendrez sur des projets stratégiques pour notre entreprise. Missions principales ✅ Concevoir et développer des tableaux de bord interactifs sous Qlik Sense ✅ Structurer et modéliser les données pour une visualisation efficace ✅ Optimiser les performances des applications BI ✅ Automatiser et fiabiliser les flux de données ✅ Participer à la formation des utilisateurs et à la documentation des solutions Profil recherché 🔹 Étudiant(e) en informatique, data science, business intelligence ou équivalent 🔹 Expérience académique ou professionnelle sur Qlik Sense 🔹 Maîtrise d’SQL, Excel et des bases de données relationnelles 🔹 Esprit analytique, rigueur et sens de la communication Si vous êtes prêt(e) à relever de nouveaux défis, n'hésitez pas a postuler directement sur l'adresse suivante:   recrutement-ctm@ctm.ma   en mentionnant en objet: BI2025 Pour plus d’offres de stages:   www.stagesportal.com",https://www.linkedin.com/company/stages-portal/posts
